商品コード,商品名,カテゴリ名,販売価格,更新日,在庫数,在庫インポートフラグ,在庫扱いの種別
000760,魚沼産健康豚の焼豚スライス,ﾊﾑ・ﾍﾞｰｺﾝ・ｿｰｾｰｼﾞ,389,2018/12/15 02:20:11,999999691,インポート可,在庫がないと注文できない
000761,●知床鶏　もも正肉,鶏肉,630,2019/01/31 02:20:00,999998296,インポート可,在庫がないと注文できない
000762,国産　若鶏もも正肉,鶏肉,651,2018/12/15 02:20:11,4,インポート可,在庫がないと注文できない
000763,国産　鶏むね肉,鶏肉,298,2018/12/15 02:20:11,999999705,インポート可,在庫がないと注文できない
000764,●国産　鶏ささ身,鶏肉,317,2019/01/31 02:20:00,999999769,インポート可,在庫がないと注文できない
000765,みつせ鶏　ささ身,みつせ鶏,578,2018/12/15 02:20:11,999999623,インポート可,在庫がないと注文できない
000766,みつせ鶏　ミンチ,みつせ鶏,452,2018/12/15 02:20:11,999999533,インポート可,在庫がないと注文できない
000767,●国産　鶏手羽先,鶏肉,372,2019/01/31 02:20:00,999999780,インポート可,在庫がないと注文できない
000768,国産　鶏手羽元,鶏肉,355,2018/12/15 02:20:11,999999699,インポート可,在庫がないと注文できない
000769,国産　鶏レバー,鶏肉,272,2018/12/15 02:20:11,999999847,インポート可,在庫がないと注文できない
000770,●国産　やきとりセット,鶏肉,441,2019/01/31 02:20:00,999999759,インポート可,在庫がないと注文できない
000771,みつせ鶏　肉だんご,みつせ鶏,662,2018/12/15 02:20:11,999999554,インポート可,在庫がないと注文できない
000772,みつせ鶏　焼きつくね串,みつせ鶏,473,2018/12/15 02:20:11,999998922,インポート可,在庫がないと注文できない
000773,みつせ鶏　レンコンはさみ焼,みつせ鶏,494,2018/12/15 02:20:11,999999418,インポート可,在庫がないと注文できない
000774,みつせ鶏　甘ったれ焼,みつせ鶏,494,2018/12/15 02:20:11,999999580,インポート可,在庫がないと注文できない
000775,みつせ鶏　豆腐ハンバーグ,みつせ鶏,467,2018/12/15 02:20:11,999999384,インポート可,在庫がないと注文できない
000776,鶏レバー甘辛煮,鶏肉,452,2018/12/15 02:20:11,999999700,インポート可,在庫がないと注文できない
000777,鶏そぼろ,鶏肉,441,2018/12/15 02:20:11,999999753,インポート可,在庫がないと注文できない
000778,蒸し鶏,鶏肉,284,2018/12/15 02:20:11,999999487,インポート可,在庫がないと注文できない
000779,鮮蝦餃（エビ蒸し餃子）,本格中華点心,494,2018/12/15 02:20:11,999999699,インポート可,在庫がないと注文できない
000780,広東煎餃（広東風焼き餃子）,本格中華点心,399,2018/12/15 02:20:11,999999753,インポート可,在庫がないと注文できない
000781,広東焼売,本格中華点心,441,2018/12/15 02:20:11,999999802,インポート可,在庫がないと注文できない
000782,蓮葉糯米鶏（おこわの蓮の葉包み）,本格中華点心,641,2018/12/15 02:20:11,999999935,インポート可,在庫がないと注文できない
000783,蟹爪（カニ爪揚げ）,本格中華点心,578,2018/12/15 02:20:11,999999829,インポート可,在庫がないと注文できない
000784,叉焼包（チャーシュー肉まん）,本格中華点心,441,2018/12/15 02:20:11,999999720,インポート可,在庫がないと注文できない
000785,迷?芝麻包（ミニゴマあんまん）,本格中華点心,326,2018/12/15 02:20:11,999999716,インポート可,在庫がないと注文できない
000786,蓮蓉湯圓（蓮の実あん茹で団子）,本格中華点心,336,2018/12/15 02:20:11,999999933,インポート可,在庫がないと注文できない
000787,ハーヤンシューマイ,中華惣菜,494,2018/12/15 02:20:11,999998650,インポート可,在庫がないと注文できない
000788,フーロンシューマイ,中華惣菜,462,2018/12/15 02:20:11,999998488,インポート可,在庫がないと注文できない
000789,●ジャンボ餃子,中華惣菜,410,2019/09/26 02:20:00,999999087,インポート可,在庫がないと注文できない
000790,しそ巻き棒餃子,中華惣菜,357,2019/09/04 02:20:00,999999230,インポート可,在庫がないと注文できない
000791,レンジでも餃子,中華惣菜,284,2018/12/29 02:20:00,999999473,インポート可,在庫がないと注文できない
000792,春巻,中華惣菜,273,2018/12/15 02:20:11,999999130,インポート可,在庫がないと注文できない
000793,黒豚餃子,中華惣菜,399,2019/04/19 02:20:00,999998354,インポート可,在庫がないと注文できない
000794,豚の角煮,中華惣菜,494,2018/12/15 02:20:11,999999658,インポート可,在庫がないと注文できない
000795,肉団子甘酢あんかけ,中華惣菜,375,2019/09/04 02:20:00,999999048,インポート可,在庫がないと注文できない
000796,黒豚春巻,中華惣菜,368,2018/12/15 02:20:11,999999638,インポート可,在庫がないと注文できない
000797,チャンジャオロース,中華惣菜,368,2018/12/15 02:20:11,2,インポート可,在庫がないと注文できない
000798,鶏胸肉のカシューナッツ炒め,中華惣菜,473,2018/12/15 02:20:11,999999780,インポート可,在庫がないと注文できない
000799,えびチリソース,中華惣菜,357,2018/12/15 02:20:11,999998928,インポート可,在庫がないと注文できない
000800,中華くらげ,中華惣菜,378,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
000801,肉まん,中華惣菜,399,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
000802,小龍包,中華惣菜,326,2018/12/15 02:20:11,999999553,インポート可,在庫がないと注文できない
000803,えびワンタン（スープ付）,中華惣菜,538,2018/12/15 02:20:11,999999274,インポート可,在庫がないと注文できない
000804,坦々春雨,中華惣菜,378,2018/12/15 02:20:11,999999609,インポート可,在庫がないと注文できない
000805,茶碗蒸し,和惣菜,410,2018/12/15 02:20:11,2,インポート可,在庫がないと注文できない
000806,●国産ロールキャベツ,和惣菜,494,2018/12/15 02:20:11,999999417,インポート可,在庫がないと注文できない
000807,京風ゆば包み,和惣菜,475,2018/12/15 02:20:11,999999696,インポート可,在庫がないと注文できない
000808,五目揚げ豆腐,和惣菜,389,2018/12/15 02:20:11,999999284,インポート可,在庫がないと注文できない
000809,味付高野豆腐,和惣菜,252,2018/12/15 02:20:11,999999678,インポート可,在庫がないと注文できない
000810,高野とがんもの含め煮,和惣菜,315,2018/12/15 02:20:11,999999673,インポート可,在庫がないと注文できない
000811,とろろゆば茶巾,和惣菜,368,2018/12/15 02:20:11,999999659,インポート可,在庫がないと注文できない
000812,芽かぶ入り玄米とろろ,和惣菜,441,2018/12/15 02:20:11,999999926,インポート可,在庫がないと注文できない
000813,国産　うの花,和惣菜,252,2018/12/15 02:20:11,999999321,インポート可,在庫がないと注文できない
000814,国産　大豆煮,和惣菜,284,2018/12/15 02:20:11,999999752,インポート可,在庫がないと注文できない
000815,大学いも,和惣菜,562,2018/12/15 02:20:11,999999364,インポート可,在庫がないと注文できない
000816,牛肉入り金平ごぼう,和惣菜,410,2018/12/15 02:20:11,999999681,インポート可,在庫がないと注文できない
000817,豚肉と大根の旨煮,和惣菜,473,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
000818,いなり寿司の皮,和惣菜,438,2018/12/15 02:20:11,999999366,インポート可,在庫がないと注文できない
000819,味噌ホルモン,和惣菜,310,2019/05/28 02:20:00,999999532,インポート可,在庫がないと注文できない
000820,鶏もも照焼スライス,和惣菜,394,2018/12/15 02:20:11,999999375,インポート可,在庫がないと注文できない
000821,紀州南高梅,和惣菜,1113,2018/12/15 02:20:11,999999900,インポート可,在庫がないと注文できない
000822,紀州南高梅,和惣菜,399,2018/12/15 02:20:11,999999863,インポート可,在庫がないと注文できない
000823,デミソースdeハンバーグ,洋惣菜,483,2018/12/15 02:20:11,999999287,インポート可,在庫がないと注文できない
000824,JGハンバーグステーキ,洋惣菜,440,2018/12/15 02:20:11,999999414,インポート可,在庫がないと注文できない
000825,チキンと野菜のミニハンバーグ,洋惣菜,357,2018/12/15 02:20:11,999999515,インポート可,在庫がないと注文できない
000826,海老とチーズのグラタン,洋惣菜,588,2018/12/15 02:20:11,999999380,インポート可,在庫がないと注文できない
000827,ポテト＆ベーコングラタン,洋惣菜,557,2018/12/15 02:20:11,999999113,インポート可,在庫がないと注文できない
000828,紅ずわいがにのドリア,洋惣菜,557,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
000829,ビーフシチュー,洋惣菜,452,2018/12/15 02:20:11,999999383,インポート可,在庫がないと注文できない
000830,こだわり極上ビーフカレー,洋惣菜,441,2018/12/15 02:20:11,999999772,インポート可,在庫がないと注文できない
000831,ハヤシソース,洋惣菜,410,2018/12/15 02:20:11,999999702,インポート可,在庫がないと注文できない
000832,茄子カレー,洋惣菜,452,2018/12/15 02:20:11,999999578,インポート可,在庫がないと注文できない
000833,ミニクロワッサン,軽食,557,2018/12/15 02:20:11,999999819,インポート可,在庫がないと注文できない
000834,メープルピーカンデニッシュ,軽食,557,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
000835,ポテトチーズもち,軽食,273,2018/12/15 02:20:11,999999584,インポート可,在庫がないと注文できない
000836,たこ焼き,軽食,454,2018/12/15 02:20:11,999999321,インポート可,在庫がないと注文できない
000837,ホットケーキセット（マーガリン・シロ,軽食,441,2018/12/15 02:20:11,999999405,インポート可,在庫がないと注文できない
000838,ミニアップルパイ,軽食,294,2018/12/15 02:20:11,999999804,インポート可,在庫がないと注文できない
000839,6種のチーズピザ,軽食,579,2018/12/15 02:20:11,999999747,インポート可,在庫がないと注文できない
